Continet,M49code_continent,Continent_code,Subregions,M49code_Subregions,Subregions_code,Country,Alpha-3 code,M49Code_country,country_code
Asia,142,142,Western Asia,145,145,Kuwait,KWT,414,414
Asia,142,142,Western Asia,145,145,Lebanon,LBN,422,422
Asia,142,142,Western Asia,145,145,Oman,OMN,512,512
Asia,142,142,Western Asia,145,145,Qatar,QAT,634,634
Asia,142,142,Western Asia,145,145,Saudi Arabia,SAU,682,682
Asia,142,142,Western Asia,145,145,State of Palestine,PSE,275,275
Asia,142,142,Western Asia,145,145,Syrian Arab Republic,SYR,760,760
Asia,142,142,Western Asia,145,145,Turkey,TUR,792,792
Asia,142,142,Western Asia,145,145,United Arab Emirates,ARE,784,784
Asia,142,142,Western Asia,145,145,Yemen,YEM,887,887
Oceania,9,009,Australia and New Zealand,53,053,Australia,AUS,36,036
Oceania,10,010,Australia and New Zealand,53,053,Christmas Island,CXR,162,162
Oceania,11,011,Australia and New Zealand,53,053,Cocos (Keeling) Islands,CCK,166,166
Oceania,12,012,Australia and New Zealand,53,053,Heard Island and McDonald Islands,HMD,334,334
Oceania,13,013,Australia and New Zealand,53,053,New Zealand,NZL,554,554
Oceania,14,014,Australia and New Zealand,53,053,Norfolk Island,NFK,574,574
Europe,150,150,Western Europe,155,155,Austria,AUT,40,040
Europe,150,150,Western Europe,155,155,Belgium,BEL,56,056
Europe,150,150,Western Europe,155,155,France,FRA,250,250
Europe,150,150,Western Europe,155,155,Germany,DEU,276,276
Europe,150,150,Western Europe,155,155,Liechtenstein,LIE,438,438
Europe,150,150,Western Europe,155,155,Luxembourg,LUX,442,442
Europe,150,150,Western Europe,155,155,Monaco,MCO,492,492
Europe,150,150,Western Europe,155,155,Netherlands,NLD,528,528
Europe,150,150,Western Europe,155,155,Switzerland,CHE,756,756
Europe,151,151,Eastern Europe,151,151,Belarus,BLR,112,112
Europe,152,152,Eastern Europe,151,151,Bulgaria,BGR,100,100
Europe,153,153,Eastern Europe,151,151,Czechia,CZE,203,203
Europe,154,154,Eastern Europe,151,151,Hungary,HUN,348,348
Europe,155,155,Eastern Europe,151,151,Poland,POL,616,616
Europe,156,156,Eastern Europe,151,151,Republic of Moldova,MDA,498,498
Europe,157,157,Eastern Europe,151,151,Romania,ROU,642,642
Europe,158,158,Eastern Europe,151,151,Russian Federation,RUS,643,643
Europe,159,159,Eastern Europe,151,151,Slovakia,SVK,703,703
Europe,160,160,Eastern Europe,151,151,Ukraine,UKR,804,804
Americas,10,010,Central America,13,013,Belize,BLZ,84,084
Americas,10,010,Central America,13,013,Costa Rica,CRI,188,188
Americas,10,010,Central America,13,013,El Salvador,SLV,222,222
Americas,10,010,Central America,13,013,Guatemala,GTM,320,320
Americas,10,010,Central America,13,013,Honduras,HND,340,340
Americas,10,010,Central America,13,013,Mexico,MEX,484,484
Americas,10,010,Central America,13,013,Nicaragua,NIC,558,558
Americas,10,010,Central America,13,013,Panama,PAN,591,591
Africa,2,002,Western Africa,11,011,Benin,BEN,204,204
Africa,2,002,Western Africa,11,011,Burkina Faso,BFA,854,854
Africa,2,002,Western Africa,11,011,Cabo Verde,CPV,132,132
Africa,2,002,Western Africa,11,011,Ivory Coast,CIV,384,384
Africa,2,002,Western Africa,11,011,Gambia,GMB,270,270
Africa,2,002,Western Africa,11,011,Ghana,GHA,288,288
Africa,2,002,Western Africa,11,011,Guinea,GIN,324,324
Africa,2,002,Western Africa,11,011,Guinea-Bissau,GNB,624,624
Africa,2,002,Western Africa,11,011,Liberia,LBR,430,430
Africa,2,002,Western Africa,11,011,Mali,MLI,466,466
Africa,2,002,Western Africa,11,011,Mauritania,MRT,478,478
Africa,2,002,Western Africa,11,011,Niger,NER,562,562
Africa,2,002,Western Africa,11,011,Nigeria,NGA,566,566
Africa,2,002,Western Africa,11,011,Saint Helena,SHN,654,654
Africa,2,002,Western Africa,11,011,Senegal,SEN,686,686
Africa,2,002,Western Africa,11,011,Sierra Leone,SLE,694,694
Africa,2,002,Western Africa,11,011,Togo,TGO,768,768
Americas,10,010,Northern America,21,021,Bermuda,BMU,60,060
Americas,10,010,Northern America,21,021,Canada,CAN,124,124
Americas,10,010,Northern America,21,021,Greenland,GRL,304,304
Americas,10,010,Northern America,21,021,Saint Pierre and Miquelon,SPM,666,666
Americas,10,010,Northern America,21,021,United States of America,USA,840,840
Africa,2,002,Southern Africa,18,018,Botswana,BWA,72,072
Africa,2,002,Southern Africa,18,018,Eswatini,SWZ,748,748
Africa,2,002,Southern Africa,18,018,Lesotho,LSO,426,426
Africa,2,002,Southern Africa,18,018,Namibia,NAM,516,516
Africa,2,002,Southern Africa,18,018,South Africa,ZAF,710,710
Africa,2,002,Eastern Africa,14,014,British Indian Ocean Territory,IOT,86,086
Africa,2,002,Eastern Africa,14,014,Burundi,BDI,108,108
Africa,2,002,Eastern Africa,14,014,Comoros,COM,174,174
Africa,2,002,Eastern Africa,14,014,Djibouti,DJI,262,262
Africa,2,002,Eastern Africa,14,014,Eritrea,ERI,232,232
Africa,2,002,Eastern Africa,14,014,Ethiopia,ETH,231,231
Africa,2,002,Eastern Africa,14,014,French Southern Territories,ATF,260,260
Africa,2,002,Eastern Africa,14,014,Kenya,KEN,404,404
Africa,2,002,Eastern Africa,14,014,Madagascar,MDG,450,450
Africa,2,002,Eastern Africa,14,014,Malawi,MWI,454,454
Africa,2,002,Eastern Africa,14,014,Mauritius,MUS,480,480
Africa,2,002,Eastern Africa,14,014,Mayotte,MYT,175,175
Africa,2,002,Eastern Africa,14,014,Mozambique,MOZ,508,508
Africa,2,002,Eastern Africa,14,014,Réunion,REU,638,638
Africa,2,002,Eastern Africa,14,014,Rwanda,RWA,646,646
Africa,2,002,Eastern Africa,14,014,Seychelles,SYC,690,690
Africa,2,002,Eastern Africa,14,014,Somalia,SOM,706,706
Africa,2,002,Eastern Africa,14,014,South Sudan,SSD,728,728
Africa,2,002,Eastern Africa,14,014,Uganda,UGA,800,800
Africa,2,002,Eastern Africa,14,014,United Republic of Tanzania,TZA,834,834
Africa,2,002,Eastern Africa,14,014,Zambia,ZMB,894,894
Africa,2,002,Eastern Africa,14,014,Zimbabwe,ZWE,716,716
Asia,142,142,South-eastern Asia,35,035,Brunei Darussalam,BRN,96,096
Asia,142,142,South-eastern Asia,35,035,Cambodia,KHM,116,116
Asia,142,142,South-eastern Asia,35,035,Indonesia,IDN,360,360
Asia,142,142,South-eastern Asia,35,035,Lao People's Democratic Republic,LAO,418,418
Asia,142,142,South-eastern Asia,35,035,Malaysia,MYS,458,458
Asia,142,142,South-eastern Asia,35,035,Myanmar,MMR,104,104
Asia,142,142,South-eastern Asia,35,035,Philippines,PHL,608,608
Asia,142,142,South-eastern Asia,35,035,Singapore,SGP,702,702
Asia,142,142,South-eastern Asia,35,035,Thailand,THA,764,764
Asia,142,142,South-eastern Asia,35,035,Timor-Leste,TLS,626,626
Asia,142,142,South-eastern Asia,35,035,Viet Nam,VNM,704,704
Asia,142,142,Eastern Asia,30,030,China,CHN,156,156
Asia,142,142,Eastern Asia,30,030,"China, Hong Kong Special Administrative Region",HKG,344,344
Asia,142,142,Eastern Asia,30,030,"China, Macao Special Administrative Region",MAC,446,446
Asia,142,142,Eastern Asia,30,030,Democratic People's Republic of Korea,PRK,408,408
Asia,142,142,Eastern Asia,30,030,Japan,JPN,392,392
Asia,142,142,Eastern Asia,30,030,Mongolia,MNG,496,496
Asia,142,142,Eastern Asia,30,030,Republic of Korea,KOR,410,410
Oceania,9,009,Melanesia,54,054,Fiji,FJI,242,242
Oceania,9,009,Melanesia,54,054,New Caledonia,NCL,540,540
Oceania,9,009,Melanesia,54,054,Papua New Guinea,PNG,598,598
Oceania,9,009,Melanesia,54,054,Solomon Islands,SLB,90,090
Oceania,9,009,Melanesia,54,054,Vanuatu,VUT,548,548
Oceania,9,009,Micronesia,57,057,Guam,GUM,316,316
Oceania,9,009,Micronesia,57,057,Kiribati,KIR,296,296
Oceania,9,009,Micronesia,57,057,Marshall Islands,MHL,584,584
Oceania,9,009,Micronesia,57,057,Micronesia (Federated States of),FSM,583,583
Oceania,9,009,Micronesia,57,057,Nauru,NRU,520,520
Oceania,9,009,Micronesia,57,057,Northern Mariana Islands,MNP,580,580
Oceania,9,009,Micronesia,57,057,Palau,PLW,585,585
Oceania,9,009,Micronesia,57,057,United States Minor Outlying Islands,UMI,581,581
Asia,142,142,Central Asia,143,143,Kazakhstan,KAZ,398,398
Asia,142,142,Central Asia,143,143,Kyrgyzstan,KGZ,417,417
Asia,142,142,Central Asia,143,143,Tajikistan,TJK,762,762
Asia,142,142,Central Asia,143,143,Turkmenistan,TKM,795,795
Asia,142,142,Central Asia,143,143,Uzbekistan,UZB,860,860
