idregion,iddistrict,idchiefdom,idsection,sch_type,idschool_name
EASTERN,KAILAHUN,KISSI TENG,TOLI,B. Primary,ASSEMBLIES OF GOD PRIMARY  
EASTERN,KAILAHUN,KISSI TENG,UPPER BUMASADU,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TENG,UPPER LELAH,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,BENDE BENGU,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,BENDE BENGU,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,ALADURA PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,ASSEMBLIES  OF  GOD  PRIMARY  SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,BADRUDIEN ISLAMIC  PRIMARY  SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,KONIO,C. Junior Secondary,BUEDU COMMUNITY JUNIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,A. Pre- Primary,COMMUNITY PRE-PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,COMMUNITY PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,KONIO,C. Junior Secondary,EASTERN ISLAMIC JUNIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,D. Senior Secondary,EASTERN ISLAMIC SENIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,GOSPEL  FREE  PENTECOSTAL MISSION  PRIMARY  SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,JEFFERSON BAPTIST PRIMARY  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,KONIO,C. Junior Secondary,KISSI TONGI HIGH SECONDARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,D. Senior Secondary,KISSI TONGI SENIOR HIGH SCHOOL SENIOR SECONDARY SCHOOL.  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,TONGI ACADEMY PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,NATIONAL ISALIMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,ASSEMBLY OF GOD PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,KONIO,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,LOWER POKOLI,B. Primary,CHRIST EVANGELICAL LUTHERAN PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,LOWER POKOLI,B. Primary,CHRIST EVANGELICAL LUTHERAN PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,LOWER POKOLI,B. Primary,ASSEMBLY OF GOD PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,TONGI  TINGI,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,NATIONAL ISALIMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,FREE PENTICOSTAL PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,MAKPADU  COMMUNITY  PRIMARY  SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,TONGI TINGI,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,UPPER KONIO,A. Pre- Primary,FREE PENTICOSTAL PRE- PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,UPPER KONIO,B. Primary,FREE PENETECOSTAL PRIMARY SCHOOL  
EASTERN,KAILAHUN,KISSI TONGI,UPPER POKOLI,B. Primary,COMMUNITY PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,UPPER POKOLI,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KISSI TONGI,UPPER POKOLI,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE BONGRE,BONGRE,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE BONGRE,BONGRE,B. Primary,BECHTEL PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE BONGRE,BONGRE,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE BONGRE,BONGRE,B. Primary,SIERRA LEONE MUSLIM PRIMARY  
EASTERN,KAILAHUN,KPEJE BONGRE,BONGRE,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE BONGRE,BORKOH,B. Primary,SAINT FRANCIS PRIMARY SCHOOL 
EASTERN,KAILAHUN,KPEJE BONGRE,FALLOR,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE BONGRE,JORWU,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE BONGRE,JORWU,B. Primary,AHMADIYYA MUSLIM PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE BONGRE,JORWU,C. Junior Secondary,CHRIST STANDARD SECONDARY SCHOOL  
EASTERN,KAILAHUN,KPEJE BONGRE,JORWU,D. Senior Secondary,CHRIST STANDARD SENIOR SECONDARY SCHOOL
EASTERN,KAILAHUN,KPEJE BONGRE,JORWU,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE BONGRE,JORWU,B. Primary,ANSARUL ISLAMIC PRIMARY SCHOOL   
EASTERN,KAILAHUN,KPEJE BONGRE,MANO,C. Junior Secondary,SAINT CHARLES AGRICULTURAL JUNOIR SECONDARY SCHOOL  
EASTERN,KAILAHUN,KPEJE BONGRE,MANO,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE BONGRE,MANOWA,B. Primary,BECHTEL PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE BONGRE,MANOWA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE BONGRE,MAWEI,B. Primary,KHULAIFAI RASHIDEEN ISLAMIC PRIMARY  
EASTERN,KAILAHUN,KPEJE BONGRE,MAWEI,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE BONGRE,SEIMAYA,C. Junior Secondary,CATHOLIC SECONDARY AND VOCATIONAL SCHOOL
EASTERN,KAILAHUN,KPEJE BONGRE,SEIMAYA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE BONGRE,SEIMAYA,B. Primary,SAINT CHRISTOPHER PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,FOYIA SECTION,B. Primary,JOINT INITIATIVE ACADEMY ORGANIZATION  JIAO) MISSION PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,FOYIA SECTION,B. Primary,NATIONAL ISALIMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE WEST,KIMAYA SECTION,B. Primary,NATIONAL ISALIMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE WEST,KIMAYA SECTION,C. Junior Secondary,METHODIST AGRICULTURAL SECONDARY SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,KIMAYA SECTION,A. Pre- Primary,SAINT THERESAS PRE SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,KIMAYA SECTION,B. Primary,AHMADIYYA MUSLIM PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE WEST,KIMAYA SECTION,B. Primary,"BUNUMBU   TEACHER'S  COLLEGE  PRACTISIG  SCHOOL,  "
EASTERN,KAILAHUN,KPEJE WEST,KIMAYA SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE WEST,KIMAYA SECTION,D. Senior Secondary,METHODIST AGRIC. SENIOR SECONDARY SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,KIMAYA SECTION,B. Primary,NGADORHUN COMMUNITY PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,KPAIWA SECTION,B. Primary,METHODIST PRIMARY SCHOOL   
EASTERN,KAILAHUN,KPEJE WEST,KPEJE FOIYIA,C. Junior Secondary,LAMIN WACENDAHS PRIVATE SECONDARY SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,KPEJE FOIYIA,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,KPEJE FOIYIA,B. Primary,NYANDE MEMORIAL  METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,KPINDIMA SECTION,B. Primary,JOKIE ISLAMIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE WEST,KPINDIMA SECTION,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KAILAHUN,KPEJE WEST,KPINDIMA SECTION,B. Primary,ANSARUL ISLAMIC PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,MAXIL A MUSA,B. Primary,METHODIST PRIMARY SCHOOL  
EASTERN,KAILAHUN,KPEJE WEST,NGOLAMA,B. Primary,UNITED  ISLAMIC  PRIMARY  SCHOOL   
EASTERN,KAILAHUN,KPEJE WEST,NGOLAMA,B. Primary,METHODIST PRIMARY SCHOOL  
